Scenario,Method,MAE,CI,Max,p_vs_Rule,d_vs_Rule,p_vs_FW,d_vs_FW
Stable,FW,28.338539304872477,0.6380562214541494,56.70226171875,,,,
Stable,Rule,1795.75211328125,60.748454579765685,9347.092,,,,
Stable,RL,24.990688161199078,0.030223390568373715,28.177908203125,0.0,1.8416339885789514,0.00022409078254876662,0.43543380911680307
Jitter,FW,34.05234546925217,1.044833972583695,113.548203125,,,,
Jitter,Rule,414.8749084203242,9.037362570534182,1764.6695,,,,
Jitter,RL,26.177418579723735,0.3727929856072175,73.2216796875,0.0,1.374509636704868,1.0878157388078802e-25,0.46276826199932874
